Authors,Author full names,Author(s) ID,Title,Planet,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Country of Origin,Institution,Affiliations,Authors with affiliations,Funding Texts,Funding Source,Publisher,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Chakrabarty A.; Swei S.S.M.; Prabhu D.,"Chakrabarty, Anjan (57114452200); Swei, Sean Shan-Min (55900680300); Prabhu, Dinesh (7003786406)",57114452200; 55900680300; 7003786406,Tree based trajectory planning for mars aerocapture,Mars,2016,AIAA Atmospheric Flight Mechanics Conference,,,,,,13,1,10.2514/6.2016-0277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088767019&doi=10.2514%2f6.2016-0277&partnerID=40&md5=95b9982a91db801773c0ec84ab6645f1,United States,NASA Ames Research Center,"NASA Ames Research Center, Moffett Field, 94035, CA, United States; Intelligent Systems Division, United States; ERC Inc., United States","Chakrabarty A., NASA Ames Research Center, Moffett Field, 94035, CA, United States, Intelligent Systems Division, United States; Swei S.S.M., NASA Ames Research Center, Moffett Field, 94035, CA, United States, Intelligent Systems Division, United States; Prabhu D., NASA Ames Research Center, Moffett Field, 94035, CA, United States, ERC Inc., United States",,NASA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-85088767019
Nixon C.A.; Kirchman F.; Esper J.; Folta D.; Mashiku A.,"Nixon, Conor A. (7006650428); Kirchman, Frank (6504822175); Esper, Jaime (6603574193); Folta, David (6701378621); Mashiku, Alinda (55805270200)",7006650428; 6504822175; 6603574193; 6701378621; 55805270200,Aerocapture design study for a Titan polar orbiter,Titan,2016,IEEE Aerospace Conference Proceedings,2016-June,,7500825,,,,0,10.1109/AERO.2016.7500825,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978516358&doi=10.1109%2fAERO.2016.7500825&partnerID=40&md5=d5f7fe2e014b669ece6124b8b51070ff,United States,NASA Goddard Spaceflight Center,"Planetary Systems Laboratory, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States; Mission Systems Engineering Branch, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States; Advanced Concepts Branch, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States; Navigation and Mission Design Branch, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States","Nixon C.A., Planetary Systems Laboratory, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States; Kirchman F., Mission Systems Engineering Branch, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States; Esper J., Advanced Concepts Branch, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States; Folta D., Navigation and Mission Design Branch, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States; Mashiku A., Navigation and Mission Design Branch, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States",,NASA,IEEE Computer Society,English,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84978516358
Ai Y.; Cui H.; Zheng Y.,"Ai, Yuanhang (57191536803); Cui, Hutao (26643307300); Zheng, Yiyu (55927725600)",57191536803; 26643307300; 55927725600,Identifying method of entry and exit conditions for aerocapture with near minimum fuel consumption,Mars,2016,Aerospace Science and Technology,58,,,582,593,11,6,10.1016/j.ast.2016.09.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991497702&doi=10.1016%2fj.ast.2016.09.018&partnerID=40&md5=55243a9fd203840012c745ea91fc902c,China,Harbin Institute of Technology,"Harbin Institute of Technology, Harbin, 150001, China","Ai Y., Harbin Institute of Technology, Harbin, 150001, China; Cui H., Harbin Institute of Technology, Harbin, 150001, China; Zheng Y., Harbin Institute of Technology, Harbin, 150001, China","This work was carried out by the Deep Space Exploration Research Center, Harbin Institute of Technology, China. This work was co-supported by the National Basic Research Program of China (No. 2012CB720000 ) and the National Natural Science Foundation of China (No. 61174201 ).",National Natural Science Foundation of China,Elsevier Masson SAS,English,Article,Final,,Scopus,2-s2.0-84991497702
Ai Y.; Cui H.; Xiao X.,"Ai, Yuanhang (57191536803); Cui, Hutao (26643307300); Xiao, Xueming (57145684500)",57191536803; 26643307300; 57145684500,Identification of post-aerocapture parking orbit for entry with near minimum fuel consumption,Mars,2017,"Proceedings - 2017 Chinese Automation Congress, CAC 2017",2017-January,,,765,770,5,0,10.1109/CAC.2017.8242869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050351904&doi=10.1109%2fCAC.2017.8242869&partnerID=40&md5=d8d6e48f726da0115311376312d9791c,China,Harbin Institute of Technology,"School of Astronautics, Harbin Institute of Technology, Harbin, Heilongjiang, 150001, China","Ai Y., School of Astronautics, Harbin Institute of Technology, Harbin, Heilongjiang, 150001, China; Cui H., School of Astronautics, Harbin Institute of Technology, Harbin, Heilongjiang, 150001, China; Xiao X., School of Astronautics, Harbin Institute of Technology, Harbin, Heilongjiang, 150001, China",,National Natural Science Foundation of China,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85050351904
Werner M.S.; Woollard B.A.; Tadanki A.; Pujari S.R.; Braun R.D.; Lock R.E.; Nelessen A.P.; Woolley R.C.,"Werner, Michael S. (57193862557); Woollard, Bryce A. (57190222958); Tadanki, Anirudh (57193873144); Pujari, Swapnil R. (57193872436); Braun, Robert D. (7402220888); Lock, Robert E. (7103230903); Nelessen, Adam P. (56323793200); Woolley, Ryan C. (15833716800)",57193862557; 57190222958; 57193873144; 57193872436; 7402220888; 7103230903; 56323793200; 15833716800,Development of an earth smallsat flight test to demonstrate viability of mars aerocapture,Earth,2017,AIAA SciTech Forum - 55th AIAA Aerospace Sciences Meeting,,,AIAA 2017-0164,,,,7,10.2514/6.2017-0164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017254365&doi=10.2514%2f6.2017-0164&partnerID=40&md5=40fd9f7cb21f8fc6781976e541354cbf,United States,Georgia Inst. Of Technology,"Space Systems Design Laboratory, Georgia Institute of Technology, School of Aerospace Engineering, 270 Ferst Drive, Atlanta, 30318, GA, United States; University of Colorado Boulder, College of Engineering and Applied Science, 1111 Engineering Drive, Boulder, 80309, CO, United States; Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Dr. M/S 301-165, La Cañada Flintridge, 91109, CA, United States; Jet Propulsion Laboratory, California Institute of Technology, Inner Planets Mission Design Group, 4800 Oak Grove Dr. M/S 301-121, La Cañada Flintridge, 91109, CA, United States","Werner M.S., Space Systems Design Laboratory, Georgia Institute of Technology, School of Aerospace Engineering, 270 Ferst Drive, Atlanta, 30318, GA, United States; Woollard B.A., Space Systems Design Laboratory, Georgia Institute of Technology, School of Aerospace Engineering, 270 Ferst Drive, Atlanta, 30318, GA, United States; Tadanki A., Space Systems Design Laboratory, Georgia Institute of Technology, School of Aerospace Engineering, 270 Ferst Drive, Atlanta, 30318, GA, United States; Pujari S.R., Space Systems Design Laboratory, Georgia Institute of Technology, School of Aerospace Engineering, 270 Ferst Drive, Atlanta, 30318, GA, United States; Braun R.D., University of Colorado Boulder, College of Engineering and Applied Science, 1111 Engineering Drive, Boulder, 80309, CO, United States; Lock R.E., Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Dr. M/S 301-165, La Cañada Flintridge, 91109, CA, United States; Nelessen A.P., Jet Propulsion Laboratory, California Institute of Technology, 4800 Oak Grove Dr. M/S 301-165, La Cañada Flintridge, 91109, CA, United States; Woolley R.C., Jet Propulsion Laboratory, California Institute of Technology, Inner Planets Mission Design Group, 4800 Oak Grove Dr. M/S 301-121, La Cañada Flintridge, 91109, CA, United States",This work was supported by a NASA Space Technology Research Fellowship.,NASA,American Institute of Aeronautics and Astronautics Inc.,English,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85017254365
Han H.; Qiao D.; Chen H.,"Han, Hongwei (57193606493); Qiao, Dong (9634159200); Chen, Hongbo (56267075600)",57193606493; 9634159200; 56267075600,Optimal ballistic coefficient control for Mars aerocapture,Mars,2017,"CGNCC 2016 - 2016 IEEE Chinese Guidance, Navigation and Control Conference",,,7829129,2175,2180,5,8,10.1109/CGNCC.2016.7829129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015164126&doi=10.1109%2fCGNCC.2016.7829129&partnerID=40&md5=797444274060e88b16751b5b18a822d7,China,Beijing Inst. Of Technology,"School of Aerospace Engineering, Beijing Institute of Technology, Beijing, 100081, China; China Academy of Launch Vehicle Technology, Beijing, China","Han H., School of Aerospace Engineering, Beijing Institute of Technology, Beijing, 100081, China; Qiao D., School of Aerospace Engineering, Beijing Institute of Technology, Beijing, 100081, China; Chen H., China Academy of Launch Vehicle Technology, Beijing, China","This work was supported by the Program for New Century Excellent Talents in University, the National Natural Science Foundation of China (Grant No. 11572038) and Beijing Higher Education Young Elite Teacher Project.",National Natural Science Foundation of China,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85015164126
Brandis A.M.; Cruden B.A.,"Brandis, A.M. (16318888100); Cruden, B.A. (7003376823)",16318888100; 7003376823,Titan atmospheric entry radiative heating,Titan,2017,"47th AIAA Thermophysics Conference, 2017",,,,,,27,15,10.2514/6.2017-4534,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088409453&doi=10.2514%2f6.2017-4534&partnerID=40&md5=b0469c0690ad2424a5dc54585814d5f1,United States,AMA Inc.,"AMA at NASA Ames, Aerothermodynamics Branch, Mountain View, 94035, CA, United States","Brandis A.M., AMA at NASA Ames, Aerothermodynamics Branch, Mountain View, 94035, CA, United States; Cruden B.A., AMA at NASA Ames, Aerothermodynamics Branch, Mountain View, 94035, CA, United States","The authors would like to thank NASA’s Entry Systems Modeling project for their support of this work. Drs Aaron Brandis and Brett Cruden are supported through the NNA15BB15C contract between NASA Ames Research Center and AMA Inc. The authors would also like to acknowledge Mark McGlaughlin, Ramon Martinez, and Rick Ryzinga, for their support in operating the EAST facility.",NASA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85088409453
Matz D.A.; Lu P.; Mendeck G.F.; Sostaric R.R.,"Matz, Daniel A. (35771305000); Lu, Ping (51564205800); Mendeck, Gavin F. (16176040800); Sostaric, Ronald R. (23478402000)",35771305000; 51564205800; 16176040800; 23478402000,Application of a fully numerical guidance to mars aerocapture,Mars,2017,"AIAA Guidance, Navigation, and Control Conference, 2017",,,,,,15,10,10.2514/6.2017-1901,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088760109&doi=10.2514%2f6.2017-1901&partnerID=40&md5=c7d0d9d60d1d06078849c4b28684485d,United States,NASA Johnson Space Center,"Flight Mechanics and Trajectory Design Branch, NASA Johnson Space Center, Houston, 77058, TX, United States; Department of Aerospace Engineering, San Diego State University, San Diego, 92182, CA, United States","Matz D.A., Flight Mechanics and Trajectory Design Branch, NASA Johnson Space Center, Houston, 77058, TX, United States; Lu P., Department of Aerospace Engineering, San Diego State University, San Diego, 92182, CA, United States; Mendeck G.F., Flight Mechanics and Trajectory Design Branch, NASA Johnson Space Center, Houston, 77058, TX, United States; Sostaric R.R., Flight Mechanics and Trajectory Design Branch, NASA Johnson Space Center, Houston, 77058, TX, United States",,NASA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85088760109
Webb K.; Lu P.; Cianciolo A.M.D.,"Webb, Kyle (57114369500); Lu, Ping (51564205800); Cianciolo, Alicia M. Dwyer (8938808800)",57114369500; 51564205800; 8938808800,Aerocapture guidance for human mars missions,Mars,2017,"AIAA Guidance, Navigation, and Control Conference, 2017",,,,,,,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017534221&partnerID=40&md5=1445b4924d029bde9215c4269e3da9f3,United States,Lockheed Martin Space Systems Company,"Lockheed Martin Space Systems Company, Iowa State University, Ames, 50011, IA, United States; Aerospace Engineering Department, San Diego State University, San Diego, 92182, CA, United States; Atmospheric Flight and Entry Systems Branch, NASA Langley Research Center, MS 489, Hampton, 23681, VA, United States","Webb K., Lockheed Martin Space Systems Company, Iowa State University, Ames, 50011, IA, United States; Lu P., Aerospace Engineering Department, San Diego State University, San Diego, 92182, CA, United States; Cianciolo A.M.D., Atmospheric Flight and Entry Systems Branch, NASA Langley Research Center, MS 489, Hampton, 23681, VA, United States",,NASA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-85017534221
Zucchelli E.M.; Mooij E.,"Zucchelli, E.M. (57201394449); Mooij, E. (15758083500)",57201394449; 15758083500,Minimum radiative heat-load aerocapture guidance with attitude-kinematics constraints,Earth,2018,"AIAA Guidance, Navigation, and Control Conference, 2018",,,,,,,2,10.2514/6.2018-1319,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141572441&doi=10.2514%2f6.2018-1319&partnerID=40&md5=91ad2fc001ce9409ee173c7ec4b1042e,Netherlands,Delft Univ.,"Delft University of Technology, Faculty of Aerospace Engineering, Kluyverweg 1, Delft, 2629 HS, Netherlands","Zucchelli E.M., Delft University of Technology, Faculty of Aerospace Engineering, Kluyverweg 1, Delft, 2629 HS, Netherlands; Mooij E., Delft University of Technology, Faculty of Aerospace Engineering, Kluyverweg 1, Delft, 2629 HS, Netherlands",,NA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85141572441
Falcone G.; Williams J.W.; Putnam Z.R.,"Falcone, G. (57191970719); Williams, J.W. (57201352411); Putnam, Z.R. (10239114100)",57191970719; 57201352411; 10239114100,Aerocapture system options for delivery of small satellites to mars,Mars,2018,Advances in the Astronautical Sciences,164,,,271,284,13,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055471306&partnerID=40&md5=5dcde1ad40c0e060584d6465cfce9f97,United States,"Univ. of Illinois, Urbana-Champaign","University of Illinois, Urbana-Champaign, 61801, IL, United States","Falcone G., University of Illinois, Urbana-Champaign, 61801, IL, United States; Williams J.W., University of Illinois, Urbana-Champaign, 61801, IL, United States; Putnam Z.R., University of Illinois, Urbana-Champaign, 61801, IL, United States",,NA,Univelt Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85055471306
Shibata E.,"Shibata, Eiji (57193557634)",57193557634,Aeropropcapture: Applying propulsion to aerocapture maneuvers,Generic,2018,Advances in the Astronautical Sciences,167,,,1463,1482,19,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069432428&partnerID=40&md5=49027903b30b72c3fe03cd39ccd1f498,United States,AirSat Engg.,"AirSat Engineering, Corona, CA, United States","Shibata E., AirSat Engineering, Corona, CA, United States",,NA,Univelt Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85069432428
Lu Y.; Saikia S.J.,"Lu, Ye (57193554127); Saikia, Sarag J. (56122625200)",57193554127; 56122625200,Feasibility assessment of aerocapture for future titan orbiter missions,Titan,2018,Journal of Spacecraft and Rockets,55,5,,1125,1135,10,8,10.2514/1.A34121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054007077&doi=10.2514%2f1.A34121&partnerID=40&md5=4dd78e8f577feebc6b944d634c3a937c,United States,Purdue Univ.,"School of Aeronautics and Astronautics, Purdue University, West Lafayette, 47907, IN, United States","Lu Y., School of Aeronautics and Astronautics, Purdue University, West Lafayette, 47907, IN, United States; Saikia S.J., School of Aeronautics and Astronautics, Purdue University, West Lafayette, 47907, IN, United States",,NA,American Institute of Aeronautics and Astronautics Inc.,English,Article,Final,,Scopus,2-s2.0-85054007077
Kazmierczak E.J.; Nakhjiri N.,"Kazmierczak, Eric J. (57201340714); Nakhjiri, Navid (55543011000)",57201340714; 55543011000,Improvements to modeling and trajectory simulation of mars aerocapture and aerobraking,Mars,2018,"Space Flight Mechanics Meeting, 2018",,,,,,,3,10.2514/6.2018-2228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141615889&doi=10.2514%2f6.2018-2228&partnerID=40&md5=1f8e8035ffc38c0fdf32e1570e619f09,United States,Lockheed Martin Space Systems Company,"Lockheed Martin Aeronautics Company, Fort Worth, 76108, TX, United States; California State Polytechnic University, Pomona, Aerospace Engineering Department, Pomona, 91768, CA, United States","Kazmierczak E.J., Lockheed Martin Aeronautics Company, Fort Worth, 76108, TX, United States; Nakhjiri N., California State Polytechnic University, Pomona, Aerospace Engineering Department, Pomona, 91768, CA, United States",,NA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-85141615889
Machado L.B.; Wilde M.; Kaplinger B.D.; Moses R.W.,"Machado, Larissa Balestrero (57210113975); Wilde, Markus (56042467900); Kaplinger, Brian D. (36124864500); Moses, Robert W. (57220518954)",57210113975; 56042467900; 36124864500; 57220518954,Conceptual design and aerocapture analysis for a crew transfer vehicle for an earth-mars cycler,Mars,2018,Advances in the Astronautical Sciences,167,,,1711,1730,19,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069485703&partnerID=40&md5=835fa3726fec7b7116ebd80f25927812,United States,Florida Inst. Of Technology,"Florida Institute of Technology, Melbourne, 32901, FL, United States; Florida Institute of Technology, Melbourne, 32901, FL, United States; Aldrin Space Institute, Florida Institute of Technology, Melbourne, 32901, FL, United States; Atmospheric Flight and Entry Systems Branch, NASA Langley Research Center, Hampton, 23681, VA, United States","Machado L.B., Florida Institute of Technology, Melbourne, 32901, FL, United States; Wilde M., Florida Institute of Technology, Melbourne, 32901, FL, United States; Kaplinger B.D., Aldrin Space Institute, Florida Institute of Technology, Melbourne, 32901, FL, United States; Moses R.W., Atmospheric Flight and Entry Systems Branch, NASA Langley Research Center, Hampton, 23681, VA, United States","The authors would like to thank D.R. Komar for providing his insight on the Mars aerocapture simulation approach. This material is based upon work supported by the National Science Foundation under Grant No. CNS 09-23050. Authors of this work were supported by the Office of Naval Research Science, Technology, Engineering & Mathematics Education Program under Grant No. N00014-16-1-3170, and under Grant No. 202331 from the Buzz Aldrin Space Foundation, a registered 501(c)(3) nonprofit.",NSF,Univelt Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85069485703
Pollice L.; Cascioli G.; Federici L.; Iannelli P.; Di Stefano I.; Ciallella M.; Casini S.; De Gasperis S.; Corallo F.; Rasoni C.A.; Filice V.; Eugeni M.; Palermo G.; Gaudenzi P.,"Pollice, L. (57193767521); Cascioli, G. (57218315261); Federici, L. (57205207649); Iannelli, P. (57192253459); Di Stefano, I. (57208629228); Ciallella, M. (57208621897); Casini, S. (57208630902); De Gasperis, S. (57208630471); Corallo, F. (57208622629); Rasoni, C.A. (57208620911); Filice, V. (57208633023); Eugeni, M. (55246436100); Palermo, G. (56531573200); Gaudenzi, P. (7004213263)",57193767521; 57218315261; 57205207649; 57192253459; 57208629228; 57208621897; 57208630902; 57208630471; 57208622629; 57208620911; 57208633023; 55246436100; 56531573200; 7004213263,A Preliminary Design of a Mission to Triton: A Concurrent Engineering Approach,Neptune,2018,Advances in Astronautics Science and Technology,1,1,,103,110,7,0,10.1007/s42423-018-0001-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161416304&doi=10.1007%2fs42423-018-0001-9&partnerID=40&md5=874b146f91960df8101209699f3169ee,Italy,Sapienza Università di Roma,"Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy","Pollice L., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Cascioli G., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Federici L., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Iannelli P., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Di Stefano I., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Ciallella M., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Casini S., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; De Gasperis S., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Corallo F., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Rasoni C.A., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Filice V., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Eugeni M., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Palermo G., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy; Gaudenzi P., Department of Mechanical and Aerospace Engineering, Sapienza University of Rome, Via Eudossiana, 18, Rome, 00184, Italy",,NA,Springer,English,Article,Final,,Scopus,2-s2.0-85161416304
Peng Y.-M.; Xu B.; Fang B.-D.; Lei H.-L.,"Peng, Yu-ming (36021949000); Xu, Bo (56411317400); Fang, Bao-dong (56501342800); Lei, Han-lun (55438033000)",36021949000; 56411317400; 56501342800; 55438033000,Analytical predictor-corrector guidance algorithm based on drag modulation flight control system for mars aerocapture,Mars,2018,International Journal of Aerospace Engineering,2018,,5907981,,,,8,10.1155/2018/5907981,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055801389&doi=10.1155%2f2018%2f5907981&partnerID=40&md5=6a644d12f0b2448345a11139d01c2932,China,Nanjing Univ.,"School of Astronomy and Space Science, Nanjing University, Nanjing, China; Shanghai Institute of Satellite Engineering, Shanghai, China; Shanghai Key Laboratory of Deep Space Exploration Technology, Shanghai, China","Peng Y.-M., School of Astronomy and Space Science, Nanjing University, Nanjing, China, Shanghai Institute of Satellite Engineering, Shanghai, China; Xu B., School of Astronomy and Space Science, Nanjing University, Nanjing, China; Fang B.-D., Shanghai Key Laboratory of Deep Space Exploration Technology, Shanghai, China; Lei H.-L., School of Astronomy and Space Science, Nanjing University, Nanjing, China",This study was supported by the Basic Scientific Research Fund of National Defense (no. 2016110C019) and Civil Aerospace Preresearch program (no. D030106).,National Natural Science Foundation of China,Hindawi Limited,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85055801389
Hancock S.M.; Moses R.W.; Goyne C.,"Hancock, Sean M. (56046205800); Moses, Robert W. (57220518954); Goyne, Christopher (6602532441)",56046205800; 57220518954; 6602532441,Magnetoshell aerocapture performance opportunities at mars,Mars,2018,2018 AIAA SPACE and Astronautics Forum and Exposition,,,AIAA 2018-5313,,,14,3,10.2514/6.2018-5313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056149214&doi=10.2514%2f6.2018-5313&partnerID=40&md5=05c3c52228595317e7650df711491b34,United States,NASA Langley Research Center,"Mechanical Systems Branch, NASA LaRC, Science Systems & Applications Inc., M/S 432, Hampton, 23681, VA, United States; NASA Langley Research Center, Atmospheric Flight & Entry Systems Branch, NASA LaRC, M/S 489, Hampton, 23681, VA, United States; Department of Mechanical and Aerospace Engineering, University of Virginia, PO Box 400746, Charlottesville, 22904, VA, United States","Hancock S.M., Mechanical Systems Branch, NASA LaRC, Science Systems & Applications Inc., M/S 432, Hampton, 23681, VA, United States; Moses R.W., NASA Langley Research Center, Atmospheric Flight & Entry Systems Branch, NASA LaRC, M/S 489, Hampton, 23681, VA, United States; Goyne C., Department of Mechanical and Aerospace Engineering, University of Virginia, PO Box 400746, Charlottesville, 22904, VA, United States",This study was funded through the NASA Langley Research Center Center Innovation Fund and based heavily on the research of MSNW LLC. and the results of the NIAC Phase I and Phase II studies. We thank David Kirtley from MSNW LLC who provided insight and expertise into the magnetoshell system physics that greatly assisted this study.,NASA,"American Institute of Aeronautics and Astronautics Inc, AIAA",English,Conference paper,Final,,Scopus,2-s2.0-85056149214
Margolis B.W.L.; Ayoubi M.A.,"Margolis, Benjamin W. L. (57215452629); Ayoubi, Mohammad A. (23033338800)",57215452629; 23033338800,Comparative study of tracking controllers applied to martian aerocapture,Mars,2018,Advances in the Astronautical Sciences,162,,,2861,2879,18,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049378917&partnerID=40&md5=acffcbc392b231bc0eca39b3e4f701f5,United States,UC Davis,"Department of Mechanical and Aerospace Engineering, University of California, Davis, 95616, CA, United States; Department of Mechanical Engineering, Santa Clara University, Santa Clara, 95053, CA, United States","Margolis B.W.L., Department of Mechanical and Aerospace Engineering, University of California, Davis, 95616, CA, United States; Ayoubi M.A., Department of Mechanical Engineering, Santa Clara University, Santa Clara, 95053, CA, United States",This material is based upon work supported by the National Science Foundation Graduate Research Fellowship under Grant No. DGE-1650042.,NSF,Univelt Inc.,English,Conference paper,Final,,Scopus,2-s2.0-85049378917
